,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
59WN2psjkt1tyaxjspN8fp,0.0266,0.466,0.833,0.0,7,-4.215,0.304,88.785,0.661
3HfB5hBU0dmBt8T0iCmH42,0.00563,0.532,0.344,0.000473,7,-13.057,0.035,91.834,0.126
5wj4E6IsrVtn8IBJQOd0Cl,0.000453,0.372,0.865,0.0,2,-4.918,0.0381,174.53,0.478
5sFDReWLrZHLFZFjHsjUTS,0.000332,0.305,0.832,2.4e-05,6,-7.981,0.0398,100.677,0.585
0fIC59ZyS8ThtUF0Um6zuD,5.91e-06,0.382,0.867,0.581,9,-7.426,0.0399,87.309,0.453
3YRCqOhFifThpSRFJ1VWFM,0.0163,0.294,0.641,0.22,11,-9.316,0.0291,79.759,0.226
1Dr1fXbc2IxaK1Mu8P8Khz,0.0175,0.531,0.909,0.0,11,-4.236,0.034,97.546,0.814
1hKdDCpiI9mqz1jVHRKG0E,0.00206,0.579,0.824,0.00903,6,-8.71,0.03,123.331,0.635
2IZZqH4K02UIYg5EohpNHF,0.0163,0.299,0.613,0.00359,7,-9.012,0.0347,166.96,0.306
5JZcX7TTLx4l0xFIXJ3DBt,0.017,0.403,0.956,7.09e-05,6,-7.376,0.0732,157.706,0.561
1FkoVC85Ds3mFoK0fVqEqP,0.0204,0.488,0.862,0.0,0,-7.595,0.0476,104.56,0.706
5yEPxDjbbzUzyauGtnmVEC,0.0415,0.389,0.889,0.0,9,-6.546,0.0442,171.121,0.524
4YPhn26bIFm2KUkL1VLzQG,0.00328,0.635,0.435,6.78e-06,3,-7.521,0.031,76.098,0.459
5UWwZ5lm5PKu6eKsHAGxOk,5.96e-05,0.412,0.882,0.00031,11,-5.54,0.0369,158.066,0.356
4d9RTWdrFLVAGhdzvqxkwn,0.0943,0.7,0.686,1.93e-06,9,-10.338,0.0279,125.412,0.815
3G69vJMWsX6ZohTykad2AU,0.245,0.392,0.534,0.00104,0,-8.793,0.0369,181.305,0.325
3ckd4YA4LcD3j50rfIVwUe,0.0091,0.668,0.803,0.00182,9,-11.282,0.0459,115.386,0.423
6DyywdbmTzlmXBzG9ym7Rt,0.000183,0.385,0.673,0.15,2,-8.182,0.0329,149.272,0.187
05NYcsjJwOYq4jIiKPVj9p,0.00257,0.599,0.79,0.00181,4,-3.58,0.043,103.783,0.961
42et6fnHCw1HIPSrdPprMl,0.00832,0.64,0.864,0.0,7,-6.576,0.0315,102.026,0.7
2TAQ9YGehOKWDqDak5DuXc,0.0021,0.423,0.954,0.0,7,-3.157,0.047,144.553,0.5
4ReyTz0y3TGkX48wO3Llot,0.0222,0.358,0.893,0.0524,4,-7.486,0.12,174.238,0.262
3CtphwpjC0XjIVpLFvGiQR,0.0249,0.384,0.733,2.61e-05,7,-6.522,0.0318,137.834,0.314
0Dw9z44gXhplDh5HCWZIxP,0.204,0.66,0.831,0.0,4,-8.195,0.0557,105.32,0.43
5PntSbMHC1ud6Vvl8x56qd,0.0341,0.66,0.627,9.64e-05,6,-10.397,0.124,85.44,0.789
4P5KoWXOxwuobLmHXLMobV,0.000182,0.505,0.825,0.000948,4,-5.721,0.0401,119.987,0.541
0uppYCG86ajpV2hSR3dJJ0,0.00244,0.666,0.936,0.086,7,-9.919,0.0476,91.577,0.776
7nnWIPM5hwE3DaUBkvOIpy,0.0562,0.645,0.792,0.0121,4,-7.34,0.036,90.565,0.666
6cJqlSO19vsfCsH1FeFI35,0.0223,0.673,0.772,1.23e-06,1,-5.246,0.0427,90.356,0.585
6txWz9UapYHVxEd7dDIHXT,0.619,0.389,0.476,5.09e-05,9,-9.342,0.0316,148.117,0.566
0Puj4YlTm6xNzDDADXHMI9,0.032,0.324,0.938,0.0321,6,-7.332,0.102,168.131,0.543
1EzeXGaZdqsA4Nst1AIAL2,5.01e-05,0.389,0.705,0.86,10,-10.331,0.0553,122.154,0.555
6QewNVIDKdSl8Y3ycuHIei,0.00178,0.394,0.944,4.54e-06,10,-6.506,0.0761,105.338,0.265
2hjGuRIEfEGzQ5MEWLowiU,0.00915,0.502,0.758,0.783,3,-9.76,0.0407,112.508,0.729
4Qbjmdlv1eZDD1u8SWe1pt,0.00541,0.298,0.825,1.46e-05,2,-8.053,0.0408,75.592,0.54
2c5wml8wsBnPfNSbCZ574T,0.000103,0.446,0.762,7.2e-05,2,-8.971,0.0422,98.993,0.276
56SkdBKyR2zOkjk6wVFI9s,0.000813,0.653,0.708,0.0197,9,-9.367,0.0263,100.698,0.891
6urCAbunOQI4bLhmGpX7iS,0.224,0.515,0.705,1.33e-05,0,-7.055,0.0333,76.078,0.532
1HZ3cUZUw5htSFmah1V8Ko,0.294,0.54,0.423,0.0884,6,-8.799,0.0283,150.135,0.353
3LRJbFT9rKoKv4aW7PuBJC,0.00834,0.381,0.732,0.0101,10,-7.594,0.0536,142.504,0.814
3ZFwuJwUpIl0GeXsvF1ELf,0.0505,0.558,0.364,5.02e-06,4,-11.258,0.0265,142.171,0.17
1AfYo6cKm3yHsJHdmNoGO1,0.000552,0.214,0.947,0.00352,4,-5.053,0.0507,170.616,0.483
3mhOmh4tRKsMfnRmgZfeBm,0.00187,0.552,0.645,1.38e-06,7,-6.595,0.0268,89.518,0.588
7CVYxHq1L0Z4G84jTDS6Jl,0.0596,0.333,0.922,2.05e-06,0,-4.087,0.0592,162.978,0.335
11LmqTE2naFULdEP94AUBa,0.184,0.494,0.677,0.0258,6,-10.233,0.0452,101.539,0.316
48iWbsOaBUAGzMdoSmqyg1,0.277,0.398,0.432,8.54e-06,11,-9.285,0.0415,93.705,0.457
7cz70nyRXlCJOE85whEkgU,0.00184,0.351,0.899,0.000116,7,-4.119,0.0432,145.015,0.508
1FTSo4v6BOZH9QxKc3MbVM,0.00178,0.674,0.789,0.0071,8,-6.903,0.0676,129.804,0.918
5mkGfmJGFZpwK9nA5amOhv,0.238,0.67,0.558,0.0,2,-9.159,0.0251,80.511,0.63
7yCPwWs66K8Ba5lFuU2bcx,0.0122,0.439,0.891,0.0,0,-4.764,0.057,148.599,0.695
7lksFyVBmmkYBTVQcxnvC3,0.0149,0.79,0.687,0.000319,7,-7.571,0.101,95.578,0.628
40bynawzslg9U7ACq07fAj,0.47,0.286,0.796,0.063,2,-4.625,0.0388,150.272,0.12
