,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
3D5Nik2e17Ex7Ag1U5a43S,0.992,0.46,0.00446,0.881,7,-29.351,0.0493,132.287,0.12
6FOphUP2w3uGA9ZMN201Xc,0.943,0.403,0.208,0.939,9,-19.154,0.0408,110.099,0.0926
3WAZWRDCfrnGm4OvosQNNT,0.99,0.312,0.102,0.685,2,-20.891,0.0402,112.926,0.254
7x10eaN6lhqLxrl3HNS4ow,0.992,0.21,0.063,0.594,10,-21.009,0.0385,86.17,0.147
29bp2SiJuUHyLVEcFnvNAy,0.984,0.29,0.0593,0.911,7,-21.32,0.0365,112.024,0.0522
4fmdRf40U9FIxwqE3ZbKY6,0.984,0.436,0.0961,0.927,2,-22.107,0.038,121.225,0.14
6LykRKmRLUeOW7gt2YCF1n,0.984,0.149,0.0463,0.886,0,-22.996,0.04,93.446,0.0332
027t0M7awc3FudWYA4BPgg,0.867,0.379,0.249,0.907,0,-18.213,0.0509,75.364,0.167
1BEN0CkLmsyPeSwX2IMeyP,0.693,0.44,0.162,0.583,8,-21.517,0.0375,114.343,0.326
3k6wLTK2Z4GgzHEHohkQCS,0.963,0.489,0.104,6.6e-06,2,-19.59,0.0629,82.688,0.491
2jyzRwYV7WJ1AbwhWexn5x,0.96,0.588,0.0485,4.52e-05,5,-21.948,0.0563,84.252,0.736
7K6n4UH9ceRYLVYwrYawgU,0.958,0.395,0.124,0.898,2,-19.684,0.0395,139.705,0.502
1NGIoQy6zJEvQDd3cK6AoU,0.988,0.418,0.0901,0.172,7,-20.635,0.0482,63.532,0.26
2meLJQXFrJHJtFjrcZORWi,0.848,0.715,0.239,0.00572,8,-18.105,0.0385,109.648,0.804
3d2X5OW1sSYhtyt6oT9H9q,0.973,0.191,0.163,0.836,6,-22.123,0.0516,75.473,0.0376
0J4T6R3S0WmLyfI1Fj0qCd,0.987,0.442,0.0915,0.221,2,-19.027,0.0428,99.92,0.55
6JRrCiEcPK3oH1p7zI5PEA,0.994,0.435,0.00651,0.946,5,-31.924,0.0461,68.763,0.122
0qPCuvHZqnMad7bYvoPQcO,0.979,0.288,0.0497,0.841,10,-27.853,0.0384,96.279,0.0391
2dmpDm26fz5ZKhV6PjRCyr,0.978,0.532,0.145,0.833,7,-20.13,0.0329,107.894,0.495
58JRn39pK14eHTzX6dMkhF,0.916,0.48,0.0591,0.324,4,-22.819,0.0317,97.109,0.487
6m07QJn7tiPEXBxiR5XyxX,0.897,0.302,0.00844,0.2,9,-33.366,0.0371,101.717,0.0598
3eQKWg3h8uTF8uo4eI3F2p,0.937,0.541,0.0137,0.532,7,-26.699,0.0435,131.148,0.25
1LU254SlOMhTgvLfLnqgfL,0.889,0.575,0.227,0.774,2,-23.19,0.0416,88.623,0.714
4bZCTdLfDoLE7ksqzWJShM,0.941,0.313,0.288,0.953,9,-20.058,0.0332,138.939,0.396
3cjL0PrPhapalktWI0q1lG,0.973,0.439,0.211,0.58,0,-21.098,0.0337,145.465,0.736
2etjkbmUjg8k3rPqb7sTEu,0.982,0.289,0.269,0.131,0,-14.039,0.0305,82.264,0.432
75M4TbBUuRWbKSs6CNQ2hY,0.985,0.219,0.23,0.497,7,-15.342,0.0311,96.336,0.0574
1VBvQgHFrIUA6dDeCNzeRX,0.99,0.382,0.171,0.644,7,-13.652,0.0295,69.605,0.3
1fCtSWBoCNH3XuK206Uxau,0.988,0.176,0.184,0.456,7,-18.34,0.0354,100.484,0.0993
7ewgCYebybGt9KiDk1z0eu,0.752,0.0665,0.181,0.909,2,-17.704,0.0376,67.999,0.112
3fMHv9C3eoepQSXNh5r1a9,0.914,0.203,0.131,0.162,7,-20.574,0.0375,98.987,0.282
13injQqfaaRPrpUnKqWFh3,0.995,0.392,0.178,0.932,0,-24.109,0.0442,87.606,0.718
6ms34jWSPNIEYESa8SDtNM,0.922,0.393,0.147,0.912,6,-19.537,0.0564,83.468,0.222
5ikdg81pJc4bRwuVexAyOk,0.891,0.593,0.488,0.789,7,-17.479,0.188,82.083,0.612
0tiyIwjHyDn7KFgHzd20pj,0.935,0.373,0.215,0.315,10,-15.593,0.0465,86.685,0.132
1GCcwwk6eVhwCU7kkcRXYM,0.979,0.323,0.0809,0.28,2,-19.445,0.0342,176.49,0.437
