,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
0z87h9TTEDeNNh2N0cLaA1,0.465,0.641,0.794,0.0,2,-5.586,0.0668,95.032,0.784
2Zt3mJdrTWNJktvromJuOw,0.024,0.576,0.894,0.0,1,-3.607,0.0647,158.051,0.811
59O0lOCAMdBugXQrEGR6A6,0.361,0.857,0.548,0.0,11,-6.078,0.0378,112.974,0.913
5s7m2xNZWgz5FqVSIvJcGA,0.16,0.696,0.851,0.0,2,-4.006,0.188,102.088,0.829
5zGqTc1WQUe8XqqdnrpKTV,0.224,0.612,0.791,0.0,6,-3.519,0.0291,133.977,0.786
7E2DqvnVtbIrFrL5X6YH9Q,0.353,0.721,0.85,0.0,10,-5.207,0.0511,118.991,0.783
68iwafs32FXpAIDWqU8wdU,0.0413,0.497,0.726,0.0,9,-6.08,0.0303,172.107,0.356
47nm8czanMUzIqHsnr5x61,0.279,0.549,0.563,0.0,4,-6.655,0.0669,163.991,0.81
0Nu9WA8kEbBWEsay2s8Q0U,0.000159,0.667,0.527,0.0117,0,-4.6,0.0277,104.032,0.664
215FCyLSBcXeX0NASXEjyn,0.0167,0.41,0.9,1.09e-05,0,-4.249,0.0656,176.962,0.558
66rVt7PbwyKlu6CK6rxyAi,0.16,0.657,0.841,0.0,9,-4.188,0.0452,120.009,0.722
0PspNrE4MSjr1JeB4OW0jn,0.198,0.553,0.872,0.0,1,-2.832,0.0782,172.138,0.638
3gVRILe7XCyNakb6sy5umX,0.0682,0.673,0.76,0.000116,0,-5.126,0.0361,113.063,0.807
4KAzYqfcijCSZa2P3etHoM,0.646,0.623,0.59,0.0,4,-5.014,0.028,137.071,0.579
5XFu5S1vBY7sNHlheCapOz,0.392,0.629,0.878,0.0,9,-3.535,0.0443,137.989,0.714
72f7jNxopSGvbx3M35i3Zl,0.0606,0.644,0.776,3.77e-06,7,-6.967,0.0929,170.036,0.578
1dgWTMoHwTUnQhOQ8SR5fV,0.0476,0.733,0.589,5.85e-06,7,-7.37,0.1,170.097,0.867
53Dj5PCDhb22qWqmre3YQs,0.0639,0.652,0.859,0.0,2,-3.746,0.0358,109.971,0.491
5JnLiuMgRAWoHYOhatFP3s,0.189,0.658,0.713,0.000433,5,-4.95,0.0263,141.941,0.455
0OlS52TmtK2gPaEtdmr7DN,0.295,0.65,0.782,0.0,8,-4.295,0.0721,171.988,0.944
7B6m8tHAYZsOKOKMU5SR2n,0.183,0.581,0.856,0.0,3,-4.0,0.0783,169.902,0.918
483beWfErq5MZAvC0fJ7cr,0.0246,0.644,0.89,2.57e-05,2,-6.993,0.0332,112.027,0.619
6aUhfNWYnMThF3TGtuYUUu,0.0379,0.678,0.839,0.0,7,-3.617,0.0394,104.952,0.772
4e9ViM53929kBcyA1nKckk,0.00823,0.415,0.799,2.13e-05,7,-7.659,0.0371,112.821,0.715
5xZYQAl2oktfGQ20rLOJt6,0.578,0.373,0.423,0.00115,9,-11.642,0.0618,187.477,0.527
7G6l2FtQyRhQgYgut2I6i8,0.275,0.679,0.842,0.0,5,-4.364,0.0376,119.013,0.72
6gS6XQ4OqMddkgzHNz40E5,0.363,0.581,0.574,0.000902,7,-9.298,0.0405,76.915,0.853
29TI0GvP5gMQMPTJjdMe0H,0.153,0.604,0.459,0.0,0,-13.19,0.0321,105.908,0.505
2uZhNjlUQ9mnt0rS7hcAgF,0.0206,0.77,0.641,0.00023,10,-6.077,0.035,96.98,0.639
5mGLFkd44tm9iZy5b1hrqZ,0.0765,0.579,0.566,3.43e-05,7,-8.473,0.028,127.108,0.464
3tQICG4gwlPtrqYNCfeNG6,0.0255,0.533,0.72,4.12e-05,4,-5.256,0.0267,130.099,0.315
68MLLtpHwpFxAgTOFcPziu,0.329,0.587,0.652,0.0,7,-5.678,0.028,152.033,0.421
5FAtSoItsFeWRCDDyTGHon,0.279,0.684,0.772,0.0,11,-4.27,0.0292,116.016,0.731
7ekj86VgKXB5XFTwVYnTQP,0.116,0.426,0.534,0.00932,7,-7.477,0.0295,119.306,0.133
2hsf7VvrBm44soR5rtDVXw,0.0427,0.556,0.504,0.000356,9,-11.513,0.0293,84.421,0.616
0kdiUZDcLIFw0Buo9r0Q4z,0.38,0.665,0.621,0.0,10,-8.571,0.0524,147.975,0.632
2d48mamATjby7wgPjdrSOQ,0.000899,0.607,0.841,0.0,9,-3.772,0.0371,104.978,0.505
5Ed2crPH1EuxwI1iUKZlnD,0.00232,0.548,0.877,9.49e-06,5,-5.647,0.0348,140.063,0.887
6H3nHkKD1mcnM6KcBaRw6l,0.0721,0.764,0.587,6.45e-06,5,-7.002,0.0298,89.98,0.494
