,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
4u2RPCt1DdZuGgRvfvnEgb,0.0243,0.432,0.824,0.0443,6,-2.492,0.0639,169.817,0.0397
66U2Ud0RBGfQ0ZQrI2m8FC,0.0139,0.53,0.777,1.69e-05,1,-6.343,0.0515,144.016,0.413
2iNIGwTvHzpv9TBmTz3S9q,0.101,0.675,0.82,0.0125,1,-4.37,0.0371,125.013,0.48
4fFL5ePSIO0ZDXDA8CRSc8,0.00883,0.548,0.959,0.000164,9,-2.731,0.157,145.032,0.0911
57p8CBvPOxrvyCbn6ttl5r,0.0079,0.653,0.91,0.0,10,-3.36,0.0566,126.047,0.0921
290NlYLqIs61GjGZ5DKayj,0.227,0.546,0.772,0.000122,6,-7.72,0.125,150.051,0.156
64iuc7K7UUVqR6ptsXMFr3,0.0424,0.513,0.769,0.00561,8,-5.575,0.0579,140.027,0.234
3URtrx2jjdAPhLH4DsMjgS,0.00598,0.549,0.832,0.00616,0,-6.864,0.0396,140.025,0.208
6ZSO7kPn8IMJFymyticbJO,0.615,0.6,0.412,0.0025,8,-9.343,0.344,113.049,0.408
7ykMO4py7Nvrgf2vUHBkzr,0.501,0.432,0.85,6.59e-06,10,-4.417,0.0771,82.607,0.109
6NwrXtcFbc8OX7wJyBqE89,0.0319,0.646,0.832,0.00147,8,-5.008,0.0778,127.025,0.0468
1jvT3CCQpyysWB1JcqZwSi,0.011,0.517,0.781,0.0,8,-3.089,0.0539,128.019,0.177
3lO38SiB2WAQRqTAHN7WTC,0.00685,0.406,0.949,5.2e-06,8,-4.488,0.114,160.007,0.457
59wlTaYOL5tDUgXnbBQ3my,0.179,0.515,0.663,0.668,7,-7.896,0.0328,120.024,0.0756
6Apozxrk03AIyQwyswUjbt,0.0251,0.551,0.681,0.0,10,-4.873,0.0401,94.052,0.227
4bw3ZyWA1ui0Adu285NWDl,0.483,0.639,0.71,2.22e-06,6,-3.358,0.0479,136.004,0.373
2vtXB4ShP4eprgRW1IYpAp,0.0842,0.6,0.76,0.000125,5,-4.964,0.262,129.896,0.421
5Ce9z7GqSknXccyppRxNLY,0.00551,0.573,0.807,0.00608,6,-2.958,0.06,149.949,0.206
76c4KOymiPUkWEeIIc0DQr,0.146,0.659,0.742,0.0,0,-4.624,0.0283,106.947,0.729
0kiYDq0MKIhDXLWPgUvrUr,0.164,0.404,0.81,0.0,9,-4.033,0.189,154.918,0.34
2r9hCNjupNy2C2g3r6SNz6,0.0785,0.722,0.787,6.46e-06,0,-4.013,0.0734,92.022,0.852
2lfPecqFbH8X4lHSpTxt8l,0.0112,0.791,0.652,0.109,6,-4.092,0.0426,179.998,0.494
6pW0sVrdJeGqm2aTC9tPTG,0.139,0.698,0.86,0.00233,4,-3.21,0.0435,95.02,0.352
6rOhRpCeWjFirOXT1C9KS2,0.0125,0.465,0.816,3.63e-05,9,-3.399,0.0926,192.041,0.343
0Ev562zA4pmUsBqjxsxxdx,0.22,0.625,0.707,0.0,2,-4.761,0.0337,138.064,0.479
0JITWDB1tVUH2VUXmVtYpL,0.121,0.693,0.725,0.00278,0,-7.297,0.0321,105.961,0.447
7q8jJ1XZEliBakZSUMFde5,0.102,0.744,0.513,1.69e-06,2,-9.492,0.0411,139.979,0.353
3TeBDiwz0qrBJAFATBcmTx,0.0728,0.595,0.732,1.01e-05,7,-4.499,0.0913,93.047,0.617
4lmQv59m2uX1OhnHuQskh2,0.246,0.608,0.592,0.000598,5,-4.39,0.0274,151.942,0.3
6d9BKcgcQtHcr9bOaH4pwY,0.0186,0.602,0.807,0.0,5,-4.577,0.0545,96.044,0.424
3imS277wRbz1CFoDySgTff,0.0732,0.49,0.629,0.0,2,-4.072,0.0399,74.967,0.3
2oL0HIuo0cxIycDtJWbpuN,0.0302,0.464,0.637,3.37e-05,2,-4.37,0.0694,186.1,0.281
3OaunNUlXXs5e2PXtNAzzG,0.0742,0.536,0.879,0.0,1,-3.019,0.0621,140.137,0.334
6Nt8JXqD73iPp1tJLJduaQ,0.136,0.336,0.746,0.0,1,-4.315,0.0685,151.756,0.21
1j3s6SE0wUgJfBULiHfgCv,0.176,0.488,0.644,9.45e-05,6,-5.194,0.0361,137.916,0.165
50pEs4BEQlgoZo6rKHNtEA,0.0533,0.672,0.647,0.0932,1,-6.264,0.0314,99.994,0.237
3LYXjnYXAgDmhawWjl5spw,0.0344,0.63,0.754,0.00838,7,-6.828,0.0469,94.984,0.161
4Gcv5SsxnQWpmOnUI19EJk,0.00968,0.513,0.788,0.0,0,-4.629,0.0364,139.987,0.234
6HMT7AzGA5wmn5m2t1BuZR,0.00911,0.521,0.819,0.00227,6,-7.267,0.0413,89.952,0.184
5GmhrrcziQz36B3R4AyJYE,0.0987,0.443,0.727,9.35e-06,0,-5.171,0.0984,74.827,0.424
02shCNmb6IvgB5jLqKjtkK,0.299,0.605,0.783,0.000175,3,-4.271,0.0324,124.015,0.105
0ZDDzzxry7vf3rrg2xYOo6,0.00975,0.409,0.855,1.2e-05,4,-4.82,0.0385,173.981,0.078
1zRdhBRqRnMSLkZTODa5OL,0.118,0.677,0.492,2.52e-05,1,-4.764,0.0597,83.962,0.166
0YDSEyBzPsuQzkuc9Bu8iR,0.0534,0.484,0.938,0.001,4,-2.926,0.0408,150.027,0.259
23lZqTIkHXJZBrDA4ZDWBz,0.0242,0.667,0.545,6.07e-05,1,-8.025,0.0617,127.979,0.163
47l9ZNCnbLoLYST8Csmuz0,0.0519,0.29,0.844,2.67e-05,0,-4.235,0.065,159.916,0.174
5xey3cl8y5fWst3EKgPFk8,0.0402,0.626,0.793,0.0,8,-5.522,0.0441,97.011,0.408
1fR961e0W4W2eeRdjfcrNn,0.193,0.745,0.752,2.65e-06,10,-5.355,0.14,168.047,0.279
46RvocxUkMUhCtDxk1BUyT,0.0197,0.375,0.693,0.000396,0,-4.475,0.0555,173.906,0.0892
3LxG9HkMMFP0MZuiw3O2rF,0.012,0.643,0.603,0.0,2,-5.416,0.0311,144.01,0.42
6UDrfHEnUWI3O03sacM3KO,0.222,0.587,0.668,0.0,8,-5.79,0.0435,93.974,0.124
39glqzRVRAy4vq3PqeTGb8,0.0589,0.452,0.465,0.000524,4,-10.006,0.0344,149.586,0.0832
2EdT0divbyKeaurz7KgPm1,0.0975,0.619,0.901,0.0455,11,-4.173,0.0563,123.002,0.503
3KrnkTF84wu0KF3vqVYgEh,0.0168,0.333,0.763,0.000834,7,-5.023,0.0633,154.585,0.0832
5Ik4kjXrJswlj17Gqf4MPl,0.0247,0.321,0.8,0.0,0,-6.354,0.379,208.258,0.156
6YIWXrjPyaxjO96yz5ccg3,0.061,0.667,0.799,1.27e-05,0,-5.366,0.0728,139.988,0.475
0K92KgcnGE6yaAsAEmnhva,0.376,0.594,0.76,0.000189,0,-3.21,0.068,80.018,0.339
6jq6rcOikCZAmjliAgAmfT,0.0857,0.57,0.763,2.49e-06,1,-4.137,0.0573,150.088,0.43
5GIE4sOL5Dk9gLbowUtUpT,0.0671,0.595,0.712,0.0,10,-6.879,0.0539,170.06,0.615
7uqXoZoKZKjuRdNphOQOgU,0.168,0.505,0.848,0.000121,6,-2.174,0.0823,150.04,0.281
5ZahQIsfOhgRoLS2UpUN7J,0.367,0.594,0.815,0.0,8,-3.47,0.0423,137.933,0.339
14oTuzcNwzAsBqzv5NRv6U,0.342,0.557,0.577,0.0,11,-6.18,0.0721,100.055,0.154
3XTOmBAnuSta2MgfwSdS5T,0.193,0.251,0.768,0.00222,7,-3.82,0.0901,78.723,0.124
6hciDCyJDYCsYQp2lH6kdA,0.16,0.582,0.757,0.0,0,-3.965,0.0399,104.105,0.516
1br1KHZHkKhCcjz6sHysT5,0.11,0.573,0.903,1.97e-06,3,-3.703,0.0341,128.935,0.425
1jLsirPDkUS2g4gnkYua58,0.0208,0.681,0.864,3.98e-06,8,-4.3,0.116,90.008,0.479
2RIyqr2zmI3CZluWnZuAVf,0.0543,0.449,0.816,0.0,7,-4.115,0.0465,150.012,0.196
5Cevkgj9FyNRFIwY3xSCn8,0.0463,0.506,0.744,6.62e-06,9,-3.605,0.042,76.056,0.396
4IJJTkfEo5D4HJ9jqggc3Z,0.0436,0.486,0.676,2.43e-05,4,-8.377,0.0974,90.242,0.293
4eG2kCWNeLfnhST3jc9XMT,0.285,0.557,0.784,0.0,4,-4.326,0.103,145.057,0.151
77JhyZwbfGojU8eBEsArDA,0.0616,0.387,0.758,2.26e-05,1,-2.794,0.0578,127.947,0.132
3bYLRndI3qoLQqgPalT8CY,0.00514,0.714,0.828,0.154,3,-4.663,0.0598,124.034,0.208
3qPXWPkEZgUhUgPifbE99z,0.00116,0.6,0.99,0.52,6,-3.016,0.337,127.954,0.192
1m1FWfGAv9ANyv48CwDwrX,0.21,0.745,0.62,1.44e-06,10,-9.584,0.162,167.981,0.293
1GkxC9FCWoDqP3vN5pMKhQ,0.00462,0.882,0.883,0.688,11,-6.457,0.061,127.692,0.852
30pVSKdzBpZ9Np4Y2bJbFM,0.135,0.72,0.643,0.812,9,-7.691,0.0369,122.012,0.325
6S2bFHbuGQI0CSqXeEvVQq,0.000145,0.81,0.968,0.513,11,-3.984,0.103,125.984,0.56
2sKTYRCgUHXmIhI2hoBuZE,0.000196,0.694,0.483,0.557,0,-7.157,0.0359,96.029,0.132
4OwCz4D1JvgPkNjyGrfSAH,0.0265,0.681,0.849,0.00787,2,-3.257,0.0409,160.061,0.467
5EqvRNLWBnhHevkDIyCPU6,0.0994,0.623,0.746,1.95e-05,5,-6.509,0.0783,119.984,0.179
7IM73yy9leN8ftZsOVmVTO,0.00426,0.776,0.883,0.351,11,-5.845,0.0712,125.008,0.676
7vK8DPCSqI9LHqBRDYfIDT,0.00151,0.795,0.827,0.664,9,-4.407,0.0637,123.983,0.191
74cvkvTVxAXCew97vBnYiy,0.0508,0.813,0.569,0.0016,2,-6.068,0.0468,123.028,0.18
30Ek6vDZ77PWTQS9HiV3xB,0.0187,0.897,0.692,0.728,11,-4.985,0.0492,125.024,0.607
4wtyVaBlDmssq5sj1cwF9S,0.00499,0.763,0.827,0.772,11,-1.956,0.0487,125.008,0.227
7hU38LHqMSPFrvoqADFJp4,0.00129,0.823,0.815,0.0494,11,-3.947,0.134,125.989,0.474
3y8YnAt72vXi4qKaUygr7O,0.142,0.711,0.983,0.673,1,-8.243,0.106,125.016,0.108
6Fu4bDzj4txJGXVyJt4Bpx,0.0819,0.874,0.769,0.0643,7,-4.279,0.0431,123.027,0.158
5FNb0gSReEnVX9idEaBaLo,0.00111,0.538,0.88,0.038,7,-3.039,0.0584,74.971,0.274
