,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
6T69c5obsCuQbSkIP7fYis,0.963,0.549,0.0781,0.574,8,-17.535,0.0471,128.137,0.492
25VmzSltVSB9vwNi6fbhr7,0.958,0.489,0.0792,0.637,8,-19.698,0.0376,108.938,0.334
2iUrcZcAuVIahQD0dg9HLe,0.779,0.496,0.634,0.402,5,-10.328,0.0364,93.357,0.606
60p18YXhrzLNrAaUXL8Bu6,0.974,0.376,0.111,0.849,2,-20.011,0.0531,63.963,0.107
0Haa5GeQyJJ9SjSqbqcXsT,0.823,0.393,0.183,0.117,4,-15.203,0.035,168.035,0.139
2fd9oqF2NpNldBAUl0ohHg,0.249,0.457,0.318,0.0,7,-14.49,0.087,176.755,0.696
4p4XgwnZJCYOWSvz8ruiOY,0.272,0.5,0.284,0.0432,0,-15.59,0.0404,93.724,0.576
5Jafpcu72SIeaOVk4Gboa2,0.994,0.447,0.439,0.923,7,-11.853,0.0908,83.382,0.223
152vfye0w28KGAheYkjRGC,0.821,0.724,0.375,0.912,10,-11.769,0.0305,113.892,0.746
7wGx08b8HOKxnppqcoq4ea,0.893,0.606,0.555,0.663,0,-9.219,0.0283,129.419,0.599
1zCsqCHvdc1uLFNO10Onsz,0.878,0.542,0.377,0.683,5,-11.514,0.0459,137.746,0.54
6Y9FGnmx9PXsmgLs02UirG,0.958,0.573,0.0954,0.388,8,-21.819,0.0454,125.451,0.101
3f0kH5GF50N7zAVbx4EWAL,0.712,0.501,0.331,0.00763,5,-16.005,0.0487,128.885,0.701
6RPqMiWO9bIfgazhMhdHMU,0.993,0.468,0.0971,0.899,1,-18.715,0.0519,176.151,0.635
0CLbmkYmQIWiEwnsbOkLpd,0.485,0.37,0.586,1.96e-06,5,-13.468,0.0581,121.573,0.519
5JfuSP2iXcABBEomyGvJKb,0.953,0.586,0.185,0.188,3,-13.861,0.0528,76.399,0.338
2C3rh8eX5vltOmwrz9I78n,0.66,0.444,0.339,0.103,3,-16.936,0.0417,142.112,0.657
23aDP04QX8MAHA99FLaPtN,0.412,0.467,0.316,0.000351,9,-12.072,0.0297,81.013,0.252
6jLW8zuFrV07xe2Bzu5r7m,0.69,0.44,0.61,0.00135,5,-9.625,0.0381,113.45,0.571
7xEf8BbxKHF4YkQHP6g9iZ,0.933,0.798,0.212,0.95,0,-10.529,0.0436,118.149,0.592
4ihpfPS3VmedvRvttAkgDi,0.64,0.358,0.5,0.752,1,-15.46,0.0421,79.145,0.861
4w7EnqiLksvE6rcuR8F8bn,0.875,0.653,0.368,0.00305,10,-11.567,0.0439,117.161,0.249
4xiSbWwmZs7SezOl0n0gc3,0.459,0.673,0.779,0.906,8,-9.78,0.0297,116.322,0.963
69qocBBq0ulJoCH05Tvt5n,0.561,0.571,0.292,0.0286,6,-13.957,0.0391,105.517,0.411
4vLYewWIvqHfKtJDk8c8tq,0.705,0.517,0.151,0.00136,0,-17.266,0.0373,136.356,0.21
2kF9Ijd7I2Kk2P4bYqUmzG,0.546,0.652,0.356,0.000103,5,-13.733,0.0419,148.822,0.56
0IxLWzmafWC5VTnpnvykJq,0.985,0.38,0.164,0.955,7,-14.69,0.0452,79.03,0.0871
3Ysj0cl3Jlb6Ysp6um8QI7,0.801,0.665,0.359,0.106,1,-8.887,0.0326,111.639,0.4
3X3p3u03P8eFL8WTH0oaaU,0.872,0.615,0.204,0.382,7,-16.075,0.0439,96.47,0.496
4CZfPaDW5madfScpZl0nDU,0.99,0.508,0.15,0.899,5,-20.844,0.0418,173.36,0.252
3VXYM1cAAavBcs9ZdKigYf,0.97,0.617,0.343,0.931,10,-16.329,0.0378,104.271,0.841
0lJ3iwfMWh8xDXWuGhbMv7,0.626,0.779,0.411,0.853,5,-17.37,0.0322,113.08,0.941
5bKiBRwBRPr4VYDurBvI6u,0.779,0.838,0.606,0.586,7,-12.787,0.0306,116.876,0.96
0aWMVrwxPNYkKmFthzmpRi,0.81,0.421,0.0161,0.0021,2,-25.358,0.0374,110.926,0.16
6q9tVjFGHBZ1nQcpmKthpv,0.505,0.508,0.779,0.298,2,-9.032,0.0403,79.528,0.893
7xFUaAB3rbKbtBa8B5g373,0.269,0.767,0.652,0.874,5,-9.638,0.0427,123.497,0.964
7ndFvLOTd55CSajPeKMZ6M,0.669,0.654,0.863,0.771,10,-9.884,0.0348,127.396,0.954
2v5EhDUOFUrFo3aeCCre1N,0.525,0.589,0.691,0.364,10,-11.269,0.0344,147.868,0.908
3dGBUc6kQPnQ9eVgTOxW3V,0.24,0.538,0.786,0.0168,7,-9.837,0.0438,152.664,0.901
6yr0Sdph95kQiCbGlsHYbs,0.742,0.373,0.48,0.895,9,-14.783,0.0317,137.946,0.827
2x91iJc0UkFcjRMEZ2CoWB,0.703,0.638,0.186,0.00103,8,-15.831,0.0347,128.372,0.498
7DUGRxCf9NFJffb5Eei8Ar,0.913,0.493,0.0421,0.173,2,-18.071,0.0347,102.074,0.172
0jVRKhupqMNBQUk9YPP94Y,0.134,0.688,0.733,0.227,0,-6.241,0.0275,134.863,0.862
3Wadbk42UtsJOT5mCx9Bb0,0.946,0.558,0.0891,0.924,2,-17.633,0.0643,100.523,0.13
7aIKSEWTEKtsaIsEHn341h,0.987,0.464,0.0266,0.879,0,-20.338,0.0532,132.973,0.0659
2mFxPB7pJbK1dpBbshw0mU,0.951,0.63,0.187,0.914,0,-16.472,0.067,79.838,0.418
5klynmZw7TdqVsGvaxQH57,0.515,0.74,0.454,0.00117,5,-14.339,0.0383,127.103,0.7
6qqK0oeBRapZn8f9hJJENw,0.911,0.531,0.366,0.88,5,-11.697,0.0496,81.867,0.785
1eLKRJTsopYSLP7Uo6YwIG,0.499,0.59,0.549,0.00244,7,-9.221,0.0255,95.355,0.706
3FBHUgNaKpWvTn9ArrGFmH,0.388,0.36,0.63,0.0,5,-8.947,0.0447,89.365,0.654
30CYlKCyutuPjnrJ5hlNfO,0.283,0.413,0.478,0.0022,0,-11.113,0.0566,150.289,0.575
3gMMHNUrq3rPeUfgQcAJ2H,0.861,0.404,0.0602,0.901,11,-26.459,0.0422,106.82,0.168
1RqBtDkSAnP87JEk5GAfMI,0.624,0.335,0.437,0.00017,3,-13.617,0.0413,86.839,0.573
4jsgnWWPKM45CHfju35xqL,0.784,0.671,0.439,0.145,8,-11.181,0.0408,112.208,0.7
1BIcmMKQOM21we5ViDrPta,0.123,0.692,0.603,0.808,8,-12.216,0.0644,94.748,0.94
6UqImPfWLGxKQtTZEpX2Vw,0.249,0.556,0.662,0.484,0,-10.031,0.0899,148.315,0.765
3VnSWymM0r0DK3euPnuXfN,0.836,0.481,0.47,0.553,2,-9.93,0.114,201.388,0.273
5ym30WzGPXzhNn5ynbrHWw,0.942,0.372,0.187,0.139,0,-13.497,0.0323,70.334,0.217
01HQIKjcODJCBRFoETqngE,0.843,0.427,0.114,0.863,2,-22.546,0.0509,60.484,0.114
2myfGe1fBz9QVr7IYZXb78,0.978,0.505,0.0871,0.833,8,-12.518,0.0391,125.206,0.331
48FRUsQ03SvFCTup3Yq1vk,0.927,0.575,0.187,0.876,0,-13.081,0.0513,107.469,0.341
2kpaRWsZTE96rmw0NBfP0c,0.972,0.515,0.0551,0.915,2,-27.383,0.0477,50.658,0.176
634p1xZRLqE0VxePb7ARW6,0.936,0.469,0.162,0.496,1,-12.677,0.0332,91.839,0.238
1wl5b2lw3YagQtZiYZbQWP,0.907,0.542,0.32,0.649,8,-9.975,0.0387,116.648,0.206
6byHlhAt3mAYh387fumyqh,0.977,0.447,0.104,0.705,8,-13.128,0.0356,126.485,0.246
1ngLfRUlZFccU9EmjpYSQj,0.883,0.445,0.406,2.68e-05,5,-6.536,0.0282,135.758,0.59
38C8v33eis3fa4hLf0dl8Z,0.963,0.258,0.0919,0.356,7,-16.015,0.0322,177.289,0.182
5ZKnYYIHJfy4XP0lsOwUtg,0.941,0.416,0.124,0.849,7,-15.459,0.0401,118.885,0.284
0GExhcihMVjrKsad725W62,0.941,0.524,0.0245,0.911,3,-21.153,0.0387,112.036,0.187
0ZO3xca4fN38Be1un20nc9,0.865,0.532,0.132,0.159,8,-15.891,0.047,89.321,0.332
6mQc9F0vBWH0sZbx76aZCf,0.994,0.484,0.021,0.902,4,-22.654,0.0589,101.396,0.117
1Owq03yMItfgZMpt9CSe80,0.888,0.447,0.0308,0.191,7,-21.593,0.038,90.095,0.293
3lw4OExcjj4kba4uU9gF4P,0.935,0.428,0.187,0.853,10,-21.001,0.0375,108.962,0.186
0yBEvLfd3qlBMJVli8AzPh,0.883,0.47,0.191,9.58e-05,8,-12.125,0.0329,116.448,0.157
6srjd0H3jKYSvTqqYm98SW,0.991,0.636,0.196,0.882,7,-14.466,0.0566,118.641,0.571
1CcZskHhB27E6XbCS1OwlS,0.93,0.48,0.121,0.283,11,-19.377,0.0462,171.467,0.644
2kWrq1IXFwvKE785vZa5ba,0.959,0.392,0.119,0.682,5,-18.487,0.039,103.886,0.179
7ysmJhXFQtiBQlk6EZ6sks,0.946,0.505,0.159,0.0127,7,-11.235,0.0336,59.385,0.196
4z6d79RAbC5q0VAqPQas8W,0.89,0.475,0.0588,0.0238,5,-17.464,0.0418,115.642,0.241
4ZUlQw3KS7qiBrgJxSyel0,0.975,0.385,0.3,0.374,3,-12.746,0.0363,90.703,0.253
4vuoL9ldmpmZcXm7RkhQvx,0.761,0.383,0.131,0.194,7,-17.764,0.033,98.606,0.101
3cmK9r1xfPh5JLvbU4gQZD,0.483,0.625,0.499,0.87,5,-14.094,0.0742,88.223,0.783
6heEBab4kl4Nrq7A9jiHyZ,0.97,0.577,0.207,0.892,9,-17.745,0.0322,81.943,0.261
6MN6yRVriszuyAVlyF8ndB,0.36,0.676,0.44,6.88e-05,0,-11.96,0.0291,80.434,0.499
392OK8Qdmos0wNDrduiwy0,0.992,0.566,0.0703,0.912,3,-21.919,0.0452,122.275,0.0785
5BxatdeERzU9irLOFkkHG5,0.465,0.519,0.455,0.662,1,-10.838,0.133,140.14,0.525
6PAPbTKCEhju62qGnrTR3S,0.784,0.714,0.296,0.0254,7,-14.346,0.0471,126.071,0.543
16Po3i2Kcsy74jz0lp6fdJ,0.735,0.582,0.343,0.0,5,-8.004,0.0428,88.144,0.462
175dyAOu0zy40wg2oPU8PW,0.589,0.507,0.373,0.0153,5,-11.428,0.0327,79.836,0.309
7uAbNkg1e6Yq5Y0sKgmCNb,0.443,0.401,0.573,0.637,0,-11.114,0.0487,78.008,0.696
3oQ25vp43afWNDPcomh2fJ,0.0133,0.567,0.441,0.881,1,-19.885,0.035,105.981,0.893
2VUo8O3ymKRYNgj97ZG2kM,0.0723,0.65,0.496,0.88,7,-13.869,0.115,116.868,0.615
7tIOwGFRTM08JdAeKOELGp,0.989,0.632,0.0378,0.935,5,-20.596,0.0583,121.361,0.357
5PKJN946E9QKLzaCQDQMHT,0.962,0.279,0.0584,0.0772,8,-19.21,0.0347,140.109,0.103
4tdQaLKMIW2LEUBhOzio7J,0.482,0.701,0.284,0.819,7,-11.606,0.0289,116.206,0.329
3Xc3ng0bMmaLLufyQWM2Nf,0.302,0.701,0.676,0.701,0,-7.627,0.0272,134.953,0.852
6kLp24Op7cOu8iQkU46sBv,0.965,0.624,0.359,0.905,1,-9.457,0.0521,104.357,0.206
7ocJaxAVByjmdZ3L37npC5,0.34,0.529,0.614,0.886,1,-9.499,0.033,100.946,0.39
